case_no,title,date,case_link,division,ponente,dispositive position,votes,Gesmundo,Leonen,Caguioa,Hernando,Lazaro-Javier,M. Lopez,Inting,Zalameda,Gaerlan,Rosario,J. Lopez,Dimaampao,Marquez,Kho,Singh
G.R. No. 244063,"LONE CONGRESSIONAL DISTRICT OF BENGUET PROVINCE, REPRESENTED BY HON. RONALD M. COSALAN, REPRESENTATIVE, PETITIONER, VS. LEPANTO CONSOLIDATED MINING COMPANY AND FAR SOUTHEAST GOLD RESOURCES, INC., RESPONDENTS.  [G.R. No. 244216]  REPUBLIC OF THE PHILIPPINES, REPRESENTED BY THE MINES AND GEOSCIENCES BUREAU OF THE DEPARTMENT OF ENVIRONMENT AND NATURAL RESOURCES (MGB-DENR), PETITIONER, VS. LEPANTO CONSOLIDATED MINING COMPANY AND FAR SOUTHEAST GOLD RESOURCES, INC., RESPONDENTS.",6/21/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68448,EN BANC,INTING,"Accordingly, the Final Award dated November 27, 2015 issued by the Arbitral Tribunal in favor of respondents Lepanto Consolidated Mining Company and Far Southeast Gold Resources, Inc. is VACATED without prejudice to their full compliance with the requirement of the ""Free and Prior Informed and Written Consent"" of the Mankayan Indigenous Cultural Communities/Indigenous Peoples as a condition for the renewal of Mineral Production Sharing Agreement No. 001-90. On the other hand, the petition in G.R. No. 244063 is DENIED. SO ORDERED. Gesmundo, C.J., Hernando, M. Lopez, Gaerlan, Rosario, J. Lopez, Marquez, Kho, Jr., and Singh, JJ., concur. Leonen, SAJ. and Caguioa, J., see concurring opinion. Lazaro-Javier, J., please see concurrence. Dimaampao, J., see separate concurring opinion. Zalameda,* J., no part. * No part."," Gesmundo, C.J., Hernando, M. Lopez, Gaerlan, Rosario, J. Lopez, Marquez, Kho, Jr., and Singh, JJ., concur. Leonen, SAJ. and Caguioa, J., see concurring opinion. Lazaro-Javier, J., please see concurrence. Dimaampao, J., see separate concurring opinion. Zalameda,* J., no part. * No part.",C,CD,C,C,C,C,P,NP,C,C,C,C,C,C,C
G.R. No. 242781,"SUPERIORA LOCALE DELL' ISTITUTO DELLE SUORE DI SAN GIUSEPPE DEL CABURLOTTO, INC., PETITIONER, VS. REPUBLIC OF THE PHILIPPINES, RESPONDENT.",6/21/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68392,EN BANC,"LOPEZ, J.","WHEREFORE, premises considered, the petition for review on certiorari is GRANTED. The Decision dated April 6, 2018 and the Resolution dated October 23, 2018 of the Court of Appeals in CA-G.R. CV No. 106867, affirming the Order dated April 11, 2016 of the Regional Trial Court, Branch 18, Tagaytay City, Cavite, are REVERSED and SET ASIDE. Let this case be REMANDED to the Regional Trial Court, Branch 18, Tagaytay City, Cavite, for further proceedings.SO ORDERED. Gesmundo, C.J., Leonen, SAJ., Hernando, Lazaro-Javier, Inting, M. Lopez, Gaerlan, Rosario, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.Caguioa, J., see Concurring Opinion.Zalameda,* J., no part.* No part."," Gesmundo, C.J., Leonen, SAJ., Hernando, Lazaro-Javier, Inting, M. Lopez, Gaerlan, Rosario, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.Caguioa, J., see Concurring Opinion.Zalameda,* J., no part.* No part.",C,C,C,C,C,C,C,NP,C,C,P,C,C,C,C
G.R. No. 221823,"REP. NICASIO M. ALIPING, JR., PETITIONER, VS. COURT OF APPEALS (FORMER 4TH DIVISION), BISHOP CARLITO J. CENZON, ARCHBISHOP SOCRATES B. VILLEGAS, SHEREE M. NOLASCO, MARIE A. BALANGUE, NONNETTE C. BENNETT, DR. TERESITA F. DE VENECIA, ANTONIO J. SUPREMIDO, JR., AND PASTOR GENER TANDOC, RESPONDENTS.",6/21/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68397,EN BANC,ROSARIO,"WHEREFORE, premises considered, the instant petition is DENIED. The 6 May 2015 Decision and the 29 October 2015 Resolution of the Court of Appeals in CA-G.R. SP No. 00029 W/K are AFFIRMED.SO ORDERED. Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur."," Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.",C,C,C,C,C,C,C,C,C,P,C,C,C,C,C
G.R. No. 254251,"PEOPLE OF THE PHILIPPINES, PLAINTIFF-APPELLEE, VS. DANILO CONDE Y MINA, ACCUSED-APPELLANT.",6/22/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68400,THIRD DIVISION,INTING,"WHEREFORE, the appeal is DISMISSED. The Decision dated August 16, 2019 of the Court of Appeals in CA-G.R. CR-HC No. 10475 is AFFIRMED with MODIFICATION. Accused-appellant Danilo Conde y Mina is hereby sentenced to a penalty of reclusion perpetua, and is likewise ordered to pay the heirs of Reynaldo Adlawan y Antonio the award of P75,000.00 as civil indemnity, P75,000.00 as moral damages, P75,000.00 as exemplary damages, and P30,225.00 as actual damages. All monetary awards shall earn legal interest rate of six percent (6%) per annum from the finality of the Decision until full payment.SO ORDERED. Caguioa (Chairperson), Gaerlan, Dimaampao, and Singh, JJ., concur."," Caguioa (Chairperson), Gaerlan, Dimaampao, and Singh, JJ., concur.",,,C,,,,P,,C,,,C,,,C
G.R. No. 242831,"PEOPLE OF THE PHILIPPINES, PLAINTIFF-APPELLEE, VS. VICTOR ALCIRA Y MADRIAGA ALSO KNOWN AS [A.K.A.] BUDDHA, ACCUSED-APPELLANT,  MERLEN CABEROS Y GERONIMO AND VICTOR ALCIRA Y MADRIAGA, ALSO KNOWN AS [A.K.A.] BUDDHA, ACCUSED.",6/22/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68462,SECOND DIVISION,"LOPEZ, J.","ACCORDINGLY, the appeal is PARTIALLY GRANTED. The Decision dated May 23, 2018 rendered by the Court of Appeals in CA-G.R. CR-HC No. 09161 is hereby MODIFIED. Accused-appellant Victor Alcira y Madriaga is hereby ACQUITTED of the charge of illegal sale and possession of dangerous drugs, as defined and penalized under Sections 5 and 11, respectively, of Article II of R.A. No. 9165, as amended by R.A. No. 10640. The Regional Trial Court is directed to turn over the seized sachets of shabu to the Dangerous Drugs Board for destruction in accordance with law. For violation of Section 28(a) in relation to par. (e) of R.A. No. 10591, accused-appellant Victor Alcira y Madriaga is hereby found GUILTY and is sentenced to suffer the penalty of imprisonment of eight (8) years, eight (8) months, and one (1) day, as minimum, to ten (10) years, eight (8) months, and one (1) day, as maximum. SO ORDERED. Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and Kho, Jr., JJ., concur. "," Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and Kho, Jr., JJ., concur. ",,C,,,C,C,,,,,P,,,C,
A.M. No. P-22-056 [Formerly A.M. No. 19-09-218-RTC],"OFFICE OF THE COURT ADMINISTRATOR, COMPLAINANT, VS. CHRISTOPHER E. SALAO, CLERK III, BRANCH 32, REGIONAL TRIAL COURT, ILOILO CITY, ILOILO, RESPONDENT.",6/22/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68378,THIRD DIVISION,INTING,"WHEREFORE, the Court resolves to RE-DOCKET this case as a regular administrative matter.Further, the Court finds respondent Christopher E. Salao, Clerk III of Branch 32, Regional Trial Court, Iloilo City, Iloilo, GUILTY of the less serious charges of Habitual Tardiness and Violation of Supreme Court Directives under Section 15(c) and (e), respectively, of Rule 140 of the Rules of Court, as amended by A.M. No. 21-08-09-SC. Thus, respondent Christopher E. Salao is meted out the penalty of REPRIMAND for the first offense and a FINE in the amount of P36,000.00 for the second offense payable within a period not exceeding three (3) months from the promulgation of this Resolution with a STERN WARNING that a repetition of the same or similar acts shall be dealt with more severely; if the fine is unpaid, such amount may be deducted from the salaries and benefits, including accrued leave credits, due to the respondent.SO ORDERED. Caguioa (Chairperson), Gaerlan, Dimaampao, and Singh, JJ., concur."," Caguioa (Chairperson), Gaerlan, Dimaampao, and Singh, JJ., concur.",,,C,,,,P,,C,,,C,,,C
G.R. No. 231090,"PHILIPPINE PIZZA, INC., PETITIONER, VS. ELVIS C. TUMPANG, JOEL L. RAMO, RUEL C. FENIS, AND CONSOLIDATED BUILDING MAINTENANCE, INC., RESPONDENTS.",6/22/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68391,THIRD DIVISION,INTING,"Accordingly, the Resolutions dated June 25, 2015 and July 28, 2015 of the National Labor Relations Commission in NLRC LAC No. 04-001027-15 are REINSTATED.SO ORDERED. Caguioa (Chairperson), J. Lopez,* Dimaampao, and Singh, JJ., concur.* Associate Justice Jhosep Y. Lopez vice Justice Samuel H. Gaerlan per Raffle dated October 13, 2021."," Caguioa (Chairperson), J. Lopez,* Dimaampao, and Singh, JJ., concur.* Associate Justice Jhosep Y. Lopez vice Justice Samuel H. Gaerlan per Raffle dated October 13, 2021.",,,C,,,,P,,,,C,C,,,C
G.R. No. 243646,"REPUBLIC OF THE PHILIPPINES, PETITIONER, VS. JOCELYN ASUSANO KIKUCHI, AS REPRESENTED BY HER ATTORNEY-IN-FACT, EDWIN E. ASUSANO, RESPONDENT.",6/22/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68394,FIRST DIVISION,HERNANDO,"WHEREFORE, the Petition is GRANTED. The November 15, 2018 Decision of the Court of Appeals in CA-G.R. CV No. 110750 is REVERSED and SET ASIDE. The case is REMANDED to the court of origin for further proceedings and reception of evidence on the Japanese law on divorce.SO ORDERED. Gesmundo, C.J. (Chairperson), Zalameda, Rosario, and Marquez, JJ., concur."," Gesmundo, C.J. (Chairperson), Zalameda, Rosario, and Marquez, JJ., concur.",C,,,P,,,,C,,C,,,C,,
G.R. No. 217414,"CATHERINE DELA CRUZ-CAGAMPAN, PETITIONER, VS. ONE NETWORK BANK, INC., [ONE NETWORK BANK]/OR ALEX V. BUENAVENTURA, PRESIDENT/MYRNA S. VIADO, HR HEAD, RESPONDENTS.",6/22/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68409,SECOND DIVISION,LEONEN,"WHEREFORE, the Petition for Review on Certiorari is GRANTED. The Court of Appeals' July 31, 2014 Decision and February 10, 2015 Resolution in CA-G.R. SP No. 04589-MIN are REVERSED and SET ASIDE.The Labor Arbiter's October 29, 2010 Decision in NLRC MAC-02-011915-2011 (RAB-X-04-00198-2010) is REINSTATED with MODIFICATION.Respondent One Network Bank, Inc. is ordered to reinstate petitioner Catherine Dela Cruz-Cagampan to her former position, and to pay her backwages, including P1,501.13, her proportionate 13th month pay for 2010, allowances, and other benefits or their monetary equivalent from the time she was illegally dismissed on February 17, 2010, up to her actual reinstatement. She is also entitled to attorney's fees of 10% of the total monetary award, subject to legal interest at the rate of 6% per annum from finality of this Decision until full payment.SO ORDERED. Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur."," Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.",,P,,,C,C,,,,,C,,,C,
G.R. No. 222548,"FRITZ BRYN ANTHONY M. DELOS SANTOS, PETITIONER, VS. COMMISSIONER OF INTERNAL REVENUE, RESPONDENT.",6/22/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68412,SECOND DIVISION,LEONEN,"WHEREFORE, the Petition is DISMISSED for being MOOT and ACADEMIC.SO ORDERED. Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur."," Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.",,P,,,C,C,,,,,C,,,C,
G.R. No. 205672,"FROILAN DALA, PETITIONER, VS. EDITHA A. AUTICIO, RESPONDENT.",6/22/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68581,SECOND DIVISION,LAZARO-JAVIER,"ACCORDINGLY, the petition is GRANTED. The Decision and Resolution dated August 29, 2012 and December 19, 2012, respectively, of the Court of Appeals in CA-G.R. CEB-CV No. 02713 are REVERSED and SET ASIDE.The Municipal Assessor of Borongan, Eastern Samar is DIRECTED to CANCEL the tax declaration over the property issued in the name of respondent. Further, petitioner is entitled to REDEEM the subject property by FULL PAYMENT of the mortgage obligation plus twelve percent (12%) legal interest per annum from June 4, 2001 until June 30, 2013. Thereafter, the legal interest rate is reduced to six percent (6%) per annum from July 1, 2013 until finality of this Decision. The total monetary awards shall then earn six percent (6%) legal interest per annum from finality of this Decision until fully paid.[80]SO ORDERED. Leonen, SAJ. (Chairperson), M. Lopez, J. Lopez, and Kho, Jr., JJ., concur."," Leonen, SAJ. (Chairperson), M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.",,C,,,P,C,,,,,C,,,C,
G.R. No. 252807,"TEOFILO FLORES Y DELA CRUZ, PETITIONER, VS. PEOPLE OF THE PHILIPPINES, RESPONDENT.",6/22/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68586,SECOND DIVISION,LAZARO-JAVIER,"ACCORDINGLY, the petition is GRANTED. The Decision dated July 2, 2020 of the Court of Appeals in CA-G.R. CR No. 39684 as to Criminal Case No. 10-1375 is REVERSED and SET ASIDE.TEOFILO FLORES y DELA CRUZ is ACQUITTED of Estafa in Criminal Case No. 10-1375.Let an entry of judgment immediately issue.SO ORDERED. Leonen, SAJ. (Chairperson), M. Lopez, J. Lopez, and Kho, Jr., JJ., concur."," Leonen, SAJ. (Chairperson), M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.",,C,,,P,C,,,,,C,,,C,
G.R. No. 253342,"DIONISIO C. LAROCO, PETITIONER, VS. AURORA B. LAROCO AND REPUBLIC OF THE PHILIPPINES, RESPONDENTS.",6/22/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69077,SECOND DIVISION,LAZARO-JAVIER,"ACCORDINGLY, the petition is GRANTED. The Decision dated November 6, 2019 and Resolution dated June 15, 2020 of the Court of Appeals in CA-G.R. CV No. 111010 and the Decision dated May 22, 2017 and Order dated April 3, 2018 of the Regional Trial Court – Branch 9, La Trinidad, Benguet in Civil Case No. 14-F-2133 are REVERSED and SET ASIDE. In place thereof, a NEW JUDGMENT is rendered declaring the marriage between Dionisio C. Laroco and Aurora B. Laroco VOID from the beginning on the ground of psychological incapacity. SO ORDERED. Leonen, SAJ. (Chairperson), M. Lopez, J. Lopez, and Kho, Jr., JJ., concur. "," Leonen, SAJ. (Chairperson), M. Lopez, J. Lopez, and Kho, Jr., JJ., concur. ",,C,,,P,C,,,,,C,,,C,
G.R. No. 253311,"BDO UNIBANK, INC., PETITIONER, VS. AILENE CHUA CO, DOING BUSINESS UNDER THE NAMES AND STYLE OF ""TWIN BLESSINGS ENTERPRISE"" AND ""CO BRANDING ENTERPRISE,"" AND ANDREW CO, RESPONDENTS.",6/22/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69594,SECOND DIVISION,"LOPEZ, M., J.:","ACCORDINGLY, the Petition is DENIED. The January 16, 2020 Decision and September 2, 2020 Resolution of the Court of Appeals in CA-G.R. SP No. 160580 are AFFIRMED. The Regional Trial Court, Branch 90 of Quezon City is ordered to proceed and resolve the Petition for Voluntary Insolvency, SP. PROC. No. Q-11-70234, with dispatch. SO ORDERED. Leonen, SAJ. (Chairperson), Lazaro-Javier, J. Lopez, and Kho, Jr., JJ., concur. "," Leonen, SAJ. (Chairperson), Lazaro-Javier, J. Lopez, and Kho, Jr., JJ., concur. ",,C,,,C,P,,,,,C,,,C,
G.R. No. 254830,"ENGR. JOSE S. DELA CRUZ, PETITIONER, VS. FIRST BUKIDNON ELECTRIC COOPERATIVE, INC. (FIBECO), RESPONDENT.",6/27/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68607,SECOND DIVISION,"LOPEZ, M., J.:","ACCORDINGLY, the Petition for Review on Certiorari is DENIED. The Decision dated July 29, 2019 and the Resolution dated September 14, 2020 of the Court of Appeals-Cagayan de Oro City in CA-G.R. SP No. 08417-MIN are AFFIRMED as to the deletion of the award of retirement benefits.SO ORDERED. Leonen, SAJ. (Chairperson), Lazaro-Javier, J. Lopez, and Kho, Jr., JJ., concur."," Leonen, SAJ. (Chairperson), Lazaro-Javier, J. Lopez, and Kho, Jr., JJ., concur.",,C,,,C,P,,,,,C,,,C,
G.R. No. 241333,"COCA-COLA BEVERAGES PHILIPPINES, INC., [FORMERLY COCA-COLA FEMSA PHILIPPINES, INC.], PETITIONER, VS. PACIFIC SUGAR HOLDINGS CORPORATION, RESPONDENT.",6/27/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68406,SECOND DIVISION,LEONEN,"premises considered, the Petition is GRANTED. The February 13, 2018 Decision and August 8, 2018 Resolution of the Court of Appeals in CA-G.R. SP No. 143593 are REVERSED AND SET ASIDE.The writ of preliminary attachment subject of this case is ordered restored for the satisfaction of judgment.SO ORDERED. Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur."," Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.",,P,,,C,C,,,,,C,,,C,
G.R. No. 231540,"ANTI-TRAPO MOVEMENT OF THE PHILIPPINES, REPRESENTED BY LEON E. PERALTA, PETITIONER, VS. LAND TRANSPORTATION OFFICE, REPRESENTED BY ITS HEAD OF AGENCY, EDGAR C. GALVANTE, RESPONDENT.",6/27/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68407,SECOND DIVISION,LEONEN,"ACCORDINGLY, the Petition is DISMISSED.SO ORDERED. Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur."," Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.",,P,,,C,C,,,,,C,,,C,
G.R. No. 253327,"PEOPLE OF THE PHILIPPINES, PLAINTIFF-APPELLEE, VS. DANILO REYES CRISOLOGO AND ROBERTO LOLENG MANLAVI, ACCUSED-APPELLANTS.",6/27/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68408,SECOND DIVISION,LAZARO-JAVIER,"Accordingly, appellants Danilo Reyes Crisologo and Roberto Loleng Manlavi are sentenced to the indeterminate penalty of six (6) years and one (1) month, as minimum, to ten (10) years, as maximum, with perpetual disqualification from holding public office.SO ORDERED. Leonen, SAJ. (Chairperson), M. Lopez, J. Lopez, and Kho, Jr., JJ., concur."," Leonen, SAJ. (Chairperson), M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.",,C,,,P,C,,,,,C,,,C,
G.R. No. 238762,"HEIRS OF SOTERO A. PUNONGBAYAN, REPRESENTED BY CLARITA M. PUNONGBAYAN [DECEASED], SUBSTITUTED BY HER HEIRS, NAMELY: LETICIA M. MAPOY, LUISITO A. MENDOZA, YOLANDA M. DIMAGIBA, AND ELVIRA M. BURAYAG; AND HENIE N. PUNONGBAYAN, PETITIONERS, VS. ST. PETER'S COLLEGE, INC., RESPONDENT.",6/27/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68410,SECOND DIVISION,LEONEN,"ACCORDINGLY, the Petition is DENIED. The August 31, 2017 Decision and April 2, 2018 Resolution of the Court of Appeals in CA-G.R. SP No. 05678-MIN are AFFIRMED.The May 23, 2001, February 4, 2004 and July 3, 2013 Orders of the Regional Trial Court, Branch 19 of Cagayan de Oro City in SPEC. PROC. No. 1053 are NULLIFIED.The Bank of the Philippine Islands of Cagayan de Oro and Land Bank of the Philippines of Cagayan de Oro are ORDERED to restore and deliver the P66,000,000.00 together with its interest to St. Peter's College Inc., or its authorized representative, without prejudice to whatever appropriate action the incumbent Administrator of the Estate of Escolastica Punongbayan Paguio may bring to enforce and protect the estates alleged interest in those monies.SO ORDERED. Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur."," Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.",,P,,,C,C,,,,,C,,,C,
G.R. No. 221664,"RUBEN M. BUENAFLOR PETITIONER, VS. STOLT-NIELSEN PHILIPPINES, INC., AND STOLT-NIELSEN ITS GMBH RESPONDENTS.",6/27/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68583,SECOND DIVISION,KHO,"Accordingly, petitioner is hereby declared to have been illegally dismissed from employment by the respondents Stolt-Nielsen Philippines, Inc. and Stolt-Nielsen ITS GMBH (respondents). As such, the respondents are hereby ORDERED to PAY, jointly and severally, petitioner the following: (a) USD20,149.33, representing the sum of his salaries for the unexpired portion of his employment contract, vacation leave pay, and bonus; (b) PHP100,000.00 in moral damages; (c) PHP100,000.00 in exemplary damages; and (d) attorney's fees equivalent to ten percent (10%) of the total monetary awards. The amount denominated in US Dollars shall be paid in its equivalent in Philippine currency at the exchange rate prevailing at the time of payment. The monetary awards granted shall further earn legal interest at the rate of six percent (6%) per annum reckoned from the date of the finality of this Decision until its full payment.SO ORDERED. Leonen, SAJ. (Division Chairperson), Lazaro-Javier, M. Lopez, and J. Lopez, JJ., concur."," Leonen, SAJ. (Division Chairperson), Lazaro-Javier, M. Lopez, and J. Lopez, JJ., concur.",,C,,,C,C,,,,,C,,,P,
